,s,p,o,type,ss,os,obj_len_3b,obj_len_sm,prompt
10791,Q36561,P155,Q35702,train,1940s,1930s,3,3,What is followed by 1940s?
10792,Q35014,P155,Q35724,train,1970s,1960s,3,3,What is followed by 1970s?
10793,Q35702,P155,Q35736,train,1930s,1920s,3,3,What is followed by 1930s?
10794,Q24190721,P155,Q3586271,train,2019 Canadian federal election,2015 Canadian federal election,5,5,What is followed by 2019 Canadian federal election?
10795,Q8683,P155,Q362,train,Cold War,World War II,4,4,What is followed by Cold War?
10796,Q35724,P155,Q36297,train,1960s,1950s,3,3,What is followed by 1960s?
10797,Q36297,P155,Q36561,train,1950s,1940s,3,3,What is followed by 1950s?
10798,Q36585,P155,Q36574,train,1910s,1900s,3,3,What is followed by 1910s?
10799,Q35736,P155,Q36585,train,1920s,1910s,3,3,What is followed by 1920s?
10800,Q2764,P155,Q3696,train,1962,1961,2,2,What is followed by 1962?
10801,Q3696,P155,Q3754,train,1961,1960,2,2,What is followed by 1961?
10802,Q172937,P155,Q37555,train,polyhedron,polygon,3,3,What is followed by polyhedron?
10803,Q777342,P155,Q3760158,train,cognomen,nomen,3,3,What is followed by cognomen?
10804,Q40927,P155,Q38324,train,1850s,1840s,4,4,What is followed by 1850s?
10805,Q38971,P155,Q38674,train,1890s,1880s,4,4,What is followed by 1890s?
10806,Q36574,P155,Q38971,train,1900s,1890s,4,4,What is followed by 1900s?
10807,Q104781873,P155,Q39337114,train,2022 Dutch municipal elections,2018 Dutch municipal elections,5,5,What is followed by 2022 Dutch municipal elections?
10808,Q38324,P155,Q39484,train,1840s,1830s,4,4,What is followed by 1840s?
10809,Q40196,P155,Q39577,train,1810s,1800s,3,3,What is followed by 1810s?
10810,Q39847,P155,Q39844,train,1870s,1860s,4,4,What is followed by 1870s?
10811,Q38674,P155,Q39847,train,1880s,1870s,4,4,What is followed by 1880s?
10812,Q44659,P155,Q40196,train,1820s,1810s,4,4,What is followed by 1820s?
10813,Q39844,P155,Q40927,train,1860s,1850s,4,4,What is followed by 1860s?
10814,Q3586271,P155,Q41302,train,2015 Canadian federal election,2011 Canadian federal election,5,5,What is followed by 2015 Canadian federal election?
10815,Q12554,P155,Q41493,train,Middle Ages,ancient history,3,3,What is followed by Middle Ages?
10816,Q42824440,P155,Q42824069,train,phase II clinical trial,phase I clinical trial,5,5,What is followed by phase II clinical trial?
10817,Q42824827,P155,Q42824440,train,phase III clinical trial,phase II clinical trial,5,5,What is followed by phase III clinical trial?
10818,Q42825046,P155,Q42824827,train,phase IV clinical trial,phase III clinical trial,5,5,What is followed by phase IV clinical trial?
10819,Q36471,P155,Q43332,train,Pompei,Pompeii,4,4,What is followed by Pompei?
10820,Q937946,P155,Q4365210,train,solid figure,plane figure,3,3,What is followed by solid figure?
10821,Q36422,P155,Q44155,train,Neolithic,Mesolithic,5,5,What is followed by Neolithic?
10822,Q39484,P155,Q44659,train,1830s,1820s,4,4,What is followed by 1830s?
10823,Q48058,P155,Q44859,train,1780s,1770s,4,4,What is followed by 1780s?
10824,Q15752615,P155,Q45095412,train,The Veterinary Journal,British Veterinary Journal,5,5,What is followed by The Veterinary Journal?
10825,Q314532,P155,Q451110,train,2004 German presidential election,1999 German presidential election,5,5,What is followed by 2004 German presidential election?
10826,Q45,P155,Q45670,train,Portugal,Kingdom of Portugal,4,4,What is followed by Portugal?
10827,Q44626,P155,Q45805,train,Cretaceous,Jurassic,4,4,What is followed by Cretaceous?
10828,Q176483,P155,Q46261,train,Gothic architecture,Romanesque architecture,4,4,What is followed by Gothic architecture?
10829,Q1406,P155,Q47604,train,Microsoft Windows,MS-DOS,5,5,What is followed by Microsoft Windows?
10830,Q199912,P155,Q48058,train,1790s,1780s,4,4,What is followed by 1790s?
10831,Q13361286,P155,Q48263,train,Xbox One,Xbox 360,3,3,What is followed by Xbox One?
10832,Q1477177,P155,Q48432,train,1934 FIFA World Cup,1930 FIFA World Cup,5,5,What is followed by 1934 FIFA World Cup?
10833,Q217050,P155,Q486761,train,Late Antiquity,classical antiquity,5,5,What is followed by Late Antiquity?
10834,Q322607,P155,Q49077,train,War of Attrition,Six-Day War,5,5,What is followed by War of Attrition?
10835,Q49077,P155,Q49101,train,Six-Day War,Suez Crisis,4,4,What is followed by Six-Day War?
10836,Q50287327,P155,Q49213654,train,Swedish Census 1890,Swedish Census 1880,5,5,What is followed by Swedish Census 1890?
10837,Q49625,P155,Q49628,train,2022,2021,3,3,What is followed by 2022?
10838,Q63184502,P155,Q5014725,train,PlayStation 5,PlayStation 4,3,3,What is followed by PlayStation 5?
10839,Q50287368,P155,Q50287327,train,Swedish Census 1900,Swedish Census 1890,5,5,What is followed by Swedish Census 1900?
10840,Q48761314,P155,Q50287368,train,Swedish Census 1910,Swedish Census 1900,4,4,What is followed by Swedish Census 1910?
10841,Q61778309,P155,Q50411777,train,2021 Tour de France,2020 Tour de France,5,5,What is followed by 2021 Tour de France?
10842,Q2369287,P155,Q51619,train,blessed,Venerable,4,4,What is followed by blessed?
10843,Q5188,P155,Q5165,train,1949,1948,2,2,What is followed by 1949?
10844,Q18597,P155,Q5188,train,1950,1949,2,2,What is followed by 1950?
10845,Q5311,P155,Q5221,train,1957,1956,2,2,What is followed by 1957?
10846,Q18625,P155,Q5231,train,1942,1941,2,2,What is followed by 1942?
10847,Q18610,P155,Q5240,train,1946,1945,2,2,What is followed by 1946?
10848,Q5302,P155,Q5253,train,1959,1958,2,2,What is followed by 1959?
10849,Q18110,P155,Q5259,train,1927,1926,3,3,What is followed by 1927?
10850,Q5165,P155,Q5263,train,1948,1947,2,2,What is followed by 1948?
10851,Q5240,P155,Q5268,train,1945,1944,2,2,What is followed by 1945?
10852,Q52692412,P155,Q52692411,train,M/14,M/12,3,3,What is followed by M/14?
10853,Q18585,P155,Q5272,train,1953,1952,2,2,What is followed by 1953?
10854,Q3754,P155,Q5302,train,1960,1959,2,2,What is followed by 1960?
10855,Q6495391,P155,Q5308718,train,late modern period,early modern period,4,4,What is followed by late modern period?
10856,Q5253,P155,Q5311,train,1958,1957,2,2,What is followed by 1958?
10857,Q55521176,P155,Q5358913,train,lower secondary school in Japan,elementary school in Japan,5,5,What is followed by lower secondary school in Japan?
10858,Q2469123,P155,Q537616,train,1986 Spanish general election,1982 Spanish general election,5,5,What is followed by 1986 Spanish general election?
10859,Q5447589,P155,Q5476244,train,fifth grade,fourth grade,3,3,What is followed by fifth grade?
10860,Q15062956,P155,Q555931,train,2017 German federal election,2013 German federal election,5,5,What is followed by 2017 German federal election?
10861,Q19610114,P155,Q56942,train,Nintendo Switch,Wii U,4,4,What is followed by Nintendo Switch?
10862,Q57775519,P155,Q57775518,train,upper secondary school,lower secondary school,4,4,What is followed by upper secondary school?
10863,Q21711493,P155,Q585,train,Christiania,Oslo,2,2,What is followed by Christiania?
10864,Q45126686,P155,Q5903788,train,Hormone Research in Paediatrics,Hormone Research,5,5,What is followed by Hormone Research in Paediatrics?
10865,Q687409,P155,Q605468,train,Polish Workers' Party,Communist Party of Poland,5,5,What is followed by Polish Workers' Party?
10866,Q2815472,P155,Q6106068,train,Late Roman Republic,Middle Roman Republic,4,4,What is followed by Late Roman Republic?
10867,Q1163256,P155,Q624482,train,middle-distance running,sprinting,3,3,What is followed by middle-distance running?
10868,Q64063386,P155,Q64063317,train,upper primary school,lower primary school,4,4,What is followed by upper primary school?
10869,Q827953,P155,Q644632,train,2002 Tour de France,2001 Tour de France,5,5,What is followed by 2002 Tour de France?
10870,Q658,P155,Q654,train,sodium,neon,2,2,What is followed by sodium?
10871,Q66010126,P155,Q66010119,train,month starting on Tuesday,month starting on Monday,5,5,What is followed by month starting on Tuesday?
10872,Q66010132,P155,Q66010126,train,month starting on Wednesday,month starting on Tuesday,5,5,What is followed by month starting on Wednesday?
10873,Q66010139,P155,Q66010132,train,month starting on Thursday,month starting on Wednesday,5,5,What is followed by month starting on Thursday?
10874,Q66010148,P155,Q66010139,train,month starting on Friday,month starting on Thursday,5,5,What is followed by month starting on Friday?
10875,Q66010153,P155,Q66010148,train,month starting on Saturday,month starting on Friday,5,5,What is followed by month starting on Saturday?
10876,Q66010158,P155,Q66010153,train,month starting on Sunday,month starting on Saturday,5,5,What is followed by month starting on Sunday?
10877,Q66010119,P155,Q66010158,train,month starting on Monday,month starting on Sunday,5,5,What is followed by month starting on Monday?
10878,Q1076105,P155,Q669262,train,general election,primary election,3,3,What is followed by general election?
10879,Q23558762,P155,Q670933,train,2017 German presidential election,2012 German presidential election,5,5,What is followed by 2017 German presidential election?
10880,Q537303,P155,Q687409,train,Polish United Workers' Party,Polish Workers' Party,5,5,What is followed by Polish United Workers' Party?
10881,Q6883,P155,Q6877,train,1802,1801,3,3,What is followed by 1802?
10882,Q6898,P155,Q6894,train,1805,1804,3,3,What is followed by 1805?
10883,Q6903,P155,Q6898,train,1806,1805,3,3,What is followed by 1806?
10884,Q6922,P155,Q6919,train,1810,1809,3,3,What is followed by 1810?
10885,Q6928,P155,Q6922,train,1811,1810,3,3,What is followed by 1811?
10886,Q6939,P155,Q6927,train,21st century,20th century,4,4,What is followed by 21st century?
10887,Q6933,P155,Q6928,train,1812,1811,3,3,What is followed by 1812?
10888,Q6937,P155,Q6933,train,1813,1812,3,3,What is followed by 1813?
10889,Q6943,P155,Q6937,train,1814,1813,3,3,What is followed by 1814?
10890,Q6948,P155,Q6943,train,1815,1814,3,3,What is followed by 1815?
10891,Q6953,P155,Q6948,train,1816,1815,3,3,What is followed by 1816?
10892,Q6958,P155,Q6953,train,1817,1816,3,3,What is followed by 1817?
10893,Q6927,P155,Q6955,train,20th century,19th century,4,4,What is followed by 20th century?
10894,Q6964,P155,Q6958,train,1818,1817,3,3,What is followed by 1818?
10895,Q6967,P155,Q6964,train,1819,1818,3,3,What is followed by 1819?
10896,Q6973,P155,Q6967,train,1820,1819,3,3,What is followed by 1820?
10897,Q6976,P155,Q6973,train,1821,1820,3,3,What is followed by 1821?
10898,Q6983,P155,Q6976,train,1822,1821,3,3,What is followed by 1822?
10899,Q6988,P155,Q6983,train,1823,1822,3,3,What is followed by 1823?
10900,Q6994,P155,Q6988,train,1824,1823,3,3,What is followed by 1824?
10901,Q6997,P155,Q6994,train,1825,1824,3,3,What is followed by 1825?
10902,Q7004,P155,Q6997,train,1826,1825,3,3,What is followed by 1826?
10903,Q7008,P155,Q7004,train,1827,1826,3,3,What is followed by 1827?
10904,Q7570,P155,Q7008,train,1828,1827,3,3,What is followed by 1828?
10905,Q6955,P155,Q7015,train,19th century,18th century,4,4,What is followed by 19th century?
10906,Q7015,P155,Q7016,train,18th century,17th century,4,4,What is followed by 18th century?
10907,Q7016,P155,Q7017,train,17th century,16th century,4,4,What is followed by 17th century?
10908,Q7017,P155,Q7018,train,16th century,15th century,4,4,What is followed by 16th century?
10909,Q11322507,P155,Q701923,train,German Army,German Army,3,3,What is followed by German Army?
10910,Q9584479,P155,Q70206617,train,junior high school,National Primary School,4,4,What is followed by junior high school?
10911,Q7018,P155,Q7034,train,15th century,14th century,4,4,What is followed by 15th century?
10912,Q7034,P155,Q7049,train,14th century,13th century,4,4,What is followed by 14th century?
10913,Q7049,P155,Q7061,train,13th century,12th century,4,4,What is followed by 13th century?
10914,Q7061,P155,Q7063,train,12th century,11th century,4,4,What is followed by 12th century?
10915,Q707063,P155,Q707051,train,2010 German presidential election,2009 German presidential election,5,5,What is followed by 2010 German presidential election?
10916,Q670933,P155,Q707063,train,2012 German presidential election,2010 German presidential election,5,5,What is followed by 2012 German presidential election?
10917,Q105269,P155,Q752119,train,Grandmaster,International Master,3,3,What is followed by Grandmaster?
10918,Q776876,P155,Q752416,train,2000 Tour de France,1999 Tour de France,5,5,What is followed by 2000 Tour de France?
10919,Q4525,P155,Q754197,train,NCIS,JAG,3,3,What is followed by NCIS?
10920,Q1492760,P155,Q7569,train,teenager,child,2,2,What is followed by teenager?
10921,Q7572,P155,Q7570,train,1829,1828,3,3,What is followed by 1829?
10922,Q7576,P155,Q7572,train,1830,1829,3,3,What is followed by 1830?
10923,Q22812047,P155,Q7573397,train,2016 Spanish general election,2015 Spanish general election,5,5,What is followed by 2016 Spanish general election?
10924,Q7579,P155,Q7576,train,1831,1830,3,3,What is followed by 1831?
10925,Q7584,P155,Q7579,train,1832,1831,3,3,What is followed by 1832?
10926,Q7587,P155,Q7584,train,1833,1832,3,3,What is followed by 1833?
10927,Q7591,P155,Q7587,train,1834,1833,3,3,What is followed by 1834?
10928,Q7597,P155,Q7591,train,1835,1834,3,3,What is followed by 1835?
10929,Q7601,P155,Q7597,train,1836,1835,3,3,What is followed by 1836?
10930,Q7608,P155,Q7601,train,1837,1836,3,3,What is followed by 1837?
10931,Q7612,P155,Q7608,train,1838,1837,3,3,What is followed by 1838?
10932,Q188539,P155,Q76092,train,glam metal,glam rock,5,5,What is followed by glam metal?
10933,Q7616,P155,Q7612,train,1839,1838,3,3,What is followed by 1839?
10934,Q7619,P155,Q7616,train,1840,1839,3,3,What is followed by 1840?
10935,Q7622,P155,Q7619,train,1841,1840,3,3,What is followed by 1841?
10936,Q7625,P155,Q7622,train,1842,1841,3,3,What is followed by 1842?
10937,Q7629,P155,Q7625,train,1843,1842,3,3,What is followed by 1843?
10938,Q7633,P155,Q7629,train,1844,1843,3,3,What is followed by 1844?
10939,Q7636,P155,Q7633,train,1845,1844,3,3,What is followed by 1845?
10940,Q7640,P155,Q7636,train,1846,1845,3,3,What is followed by 1846?
10941,Q7644,P155,Q7640,train,1847,1846,3,3,What is followed by 1847?
10942,Q7647,P155,Q7644,train,1848,1847,3,3,What is followed by 1848?
10943,Q7650,P155,Q7647,train,1849,1848,3,3,What is followed by 1849?
10944,Q7653,P155,Q7650,train,1850,1849,3,3,What is followed by 1850?
10945,Q7656,P155,Q7653,train,1851,1850,3,3,What is followed by 1851?
10946,Q7661,P155,Q7656,train,1852,1851,3,3,What is followed by 1852?
10947,Q7666,P155,Q7661,train,1853,1852,3,3,What is followed by 1853?
10948,Q7670,P155,Q7666,train,1854,1853,3,3,What is followed by 1854?
10949,Q7673,P155,Q7670,train,1855,1854,3,3,What is followed by 1855?
10950,Q7676,P155,Q7673,train,1856,1855,3,3,What is followed by 1856?
10951,Q7680,P155,Q7676,train,1857,1856,3,3,What is followed by 1857?
10952,Q7684,P155,Q7680,train,1858,1857,3,3,What is followed by 1858?
10953,Q7687,P155,Q7684,train,1859,1858,3,3,What is followed by 1859?
10954,Q7691,P155,Q7687,train,1860,1859,3,3,What is followed by 1860?
10955,Q7693,P155,Q7691,train,1861,1860,3,3,What is followed by 1861?
10956,Q7698,P155,Q7693,train,1862,1861,3,3,What is followed by 1862?
10957,Q1233991,P155,Q769536,train,documenta 8,documenta 7,4,4,What is followed by documenta 8?
10958,Q7701,P155,Q7698,train,1863,1862,3,3,What is followed by 1863?
10959,Q7704,P155,Q7701,train,1864,1863,3,3,What is followed by 1864?
10960,Q7708,P155,Q7704,train,1865,1864,3,3,What is followed by 1865?
10961,Q7712,P155,Q7708,train,1866,1865,3,3,What is followed by 1866?
10962,Q7715,P155,Q7712,train,1867,1866,3,3,What is followed by 1867?
10963,Q7717,P155,Q7715,train,1868,1867,3,3,What is followed by 1868?
10964,Q7720,P155,Q7717,train,1869,1868,3,3,What is followed by 1869?
10965,Q7741,P155,Q7720,train,1870,1869,3,3,What is followed by 1870?
10966,Q7746,P155,Q7741,train,1871,1870,3,3,What is followed by 1871?
10967,Q7753,P155,Q7746,train,1872,1871,3,3,What is followed by 1872?
10968,Q7757,P155,Q7753,train,1873,1872,3,3,What is followed by 1873?
10969,Q7761,P155,Q7757,train,1874,1873,3,3,What is followed by 1874?
10970,Q7764,P155,Q7761,train,1875,1874,3,3,What is followed by 1875?
10971,Q7766,P155,Q7764,train,1876,1875,3,3,What is followed by 1876?
10972,Q7773,P155,Q7766,train,1877,1876,3,3,What is followed by 1877?
10973,Q644632,P155,Q776876,train,2001 Tour de France,2000 Tour de France,5,5,What is followed by 2001 Tour de France?
10974,Q7776,P155,Q7773,train,1878,1877,3,3,What is followed by 1878?
10975,Q7783,P155,Q7776,train,1879,1878,3,3,What is followed by 1879?
10976,Q7806,P155,Q7783,train,1880,1879,3,3,What is followed by 1880?
10977,Q7808,P155,Q7806,train,1881,1880,3,3,What is followed by 1881?
10978,Q7812,P155,Q7808,train,1882,1881,3,3,What is followed by 1882?
10979,Q7816,P155,Q7812,train,1883,1882,3,3,What is followed by 1883?
10980,Q7819,P155,Q7816,train,1884,1883,3,3,What is followed by 1884?
10981,Q7821,P155,Q7819,train,1885,1884,3,3,What is followed by 1885?
10982,Q7822,P155,Q7821,train,1886,1885,3,3,What is followed by 1886?
10983,Q7826,P155,Q7822,train,1887,1886,3,3,What is followed by 1887?
10984,Q7829,P155,Q7826,train,1888,1887,3,3,What is followed by 1888?
10985,Q7831,P155,Q7829,train,1889,1888,3,3,What is followed by 1889?
10986,Q7832,P155,Q7831,train,1890,1889,3,3,What is followed by 1890?
10987,Q7837,P155,Q7832,train,1891,1890,3,3,What is followed by 1891?
10988,Q7839,P155,Q7837,train,1892,1891,3,3,What is followed by 1892?
10989,Q7840,P155,Q7839,train,1893,1892,3,3,What is followed by 1893?
10990,Q7843,P155,Q7840,train,1894,1893,3,3,What is followed by 1894?
10991,Q7844,P155,Q7843,train,1895,1894,3,3,What is followed by 1895?
10992,Q7846,P155,Q7844,train,1896,1895,3,3,What is followed by 1896?
10993,Q7847,P155,Q7846,train,1897,1896,3,3,What is followed by 1897?
10994,Q7848,P155,Q7847,train,1898,1897,3,3,What is followed by 1898?
10995,Q7851,P155,Q7848,train,1899,1898,3,3,What is followed by 1899?
10996,Q2034,P155,Q7851,train,1900,1899,3,3,What is followed by 1900?
10997,Q2886278,P155,Q787204,train,Later Roman Empire,High Roman Empire,4,4,What is followed by Later Roman Empire?
10998,Q7063,P155,Q8052,train,11th century,10th century,4,4,What is followed by 11th century?
10999,Q56942,P155,Q8079,train,Wii U,Wii,3,3,What is followed by Wii U?
11000,Q24603,P1376,Q127238,train,Independence,Jackson County,3,3,What has Independence as its capital?
11001,Q179645,P1376,Q1490,train,Shinjuku,Tokyo,2,2,What has Shinjuku as its capital?
11002,Q1765460,P1376,Q217829,train,Aberaeron,Ceredigion,5,5,What has Aberaeron as its capital?
11003,Q60,P1376,Q30,train,New York City,United States of America,5,5,What has New York City as its capital?
11004,Q49111,P1376,Q54073,train,Cambridge,Middlesex County,5,5,What has Cambridge as its capital?
11005,Q48274,P1376,Q54439,train,Nashua,Hillsborough County,4,4,What has Nashua as its capital?
11006,Q1850290,P1376,Q10005,train,Nijverdal,Hellendoorn,5,5,What has Nijverdal as its capital?
11007,Q2184767,P1376,Q10015,train,Losser,Losser,4,4,What has Losser as its capital?
11008,Q3726,P1376,Q1005,train,Banjul,The Gambia,5,5,What has Banjul as its capital?
11009,Q81220,P1376,Q10072,train,Goes,Goes,4,4,What has Goes as its capital?
11010,Q81100,P1376,Q10073,train,Hulst,Hulst,5,5,What has Hulst as its capital?
11011,Q1024703,P1376,Q10074,train,Kapelle,Kapelle,3,3,What has Kapelle as its capital?
11012,Q3018561,P1376,Q101918,train,Apeldoorn,Apeldoorn,5,5,What has Apeldoorn as its capital?
11013,Q989616,P1376,Q1022488,train,Hove,Brighton and Hove,5,5,What has Hove as its capital?
11014,Q826561,P1376,Q1026448,train,Halifax,Calderdale,4,4,What has Halifax as its capital?
11015,Q504334,P1376,Q10449,train,Lauf an der Pegnitz,Nürnberger Land,4,4,What has Lauf an der Pegnitz as its capital?
11016,Q65,P1376,Q104994,train,Los Angeles,Los Angeles County,4,4,What has Los Angeles as its capital?
11017,Q4007,P1376,Q10526,train,Rosenheim,Rosenheim,3,3,What has Rosenheim as its capital?
11018,Q253119,P1376,Q10528,train,Traunstein,Traunstein,4,4,What has Traunstein as its capital?
11019,Q478302,P1376,Q1067014,train,Toowoomba,Toowoomba Region,5,5,What has Toowoomba as its capital?
11020,Q49256,P1376,Q108047,train,Bakersfield,Kern County,3,3,What has Bakersfield as its capital?
11021,Q212991,P1376,Q108067,train,Santa Rosa,Sonoma County,5,5,What has Santa Rosa as its capital?
11022,Q488125,P1376,Q108072,train,Salinas,Monterey County,5,5,What has Salinas as its capital?
11023,Q505549,P1376,Q108101,train,Redwood City,San Mateo County,5,5,What has Redwood City as its capital?
11024,Q159288,P1376,Q108106,train,Santa Barbara,Santa Barbara County,4,4,What has Santa Barbara as its capital?
11025,Q49243,P1376,Q108111,train,Riverside,Riverside County,3,3,What has Riverside as its capital?
11026,Q631915,P1376,Q108117,train,San Rafael,Marin County,3,3,What has San Rafael as its capital?
11027,Q159232,P1376,Q108122,train,Santa Cruz,Santa Cruz County,4,4,What has Santa Cruz as its capital?
11028,Q490434,P1376,Q108127,train,Ventura,Ventura County,4,4,What has Ventura as its capital?
11029,Q60537,P1376,Q108137,train,Napa,Napa County,4,4,What has Napa as its capital?
11030,Q16552,P1376,Q108143,train,San Diego,San Diego County,4,4,What has San Diego as its capital?
11031,Q23768,P1376,Q108403,train,Las Vegas,Clark County,3,3,What has Las Vegas as its capital?
11032,Q1297,P1376,Q108418,train,Chicago,Cook County,3,3,What has Chicago as its capital?
11033,Q16562,P1376,Q108494,train,El Paso,El Paso County,5,5,What has El Paso as its capital?
11034,Q944044,P1376,Q108788,train,Natchez,Adams County,3,3,What has Natchez as its capital?
11035,Q575750,P1376,Q108798,train,Quincy,Adams County,3,3,What has Quincy as its capital?
11036,Q5083,P1376,Q108861,train,Seattle,King County,3,3,What has Seattle as its capital?
11037,Q128306,P1376,Q109265,train,Denton,Denton County,4,4,What has Denton as its capital?
11038,Q6226,P1376,Q1094060,train,St Albans,St Albans,5,5,What has St Albans as its capital?
11039,Q29303,P1376,Q1094104,train,Canterbury,Canterbury,2,2,What has Canterbury as its capital?
11040,Q327515,P1376,Q109442,train,Laramie,Albany County,3,3,What has Laramie as its capital?
11041,Q668546,P1376,Q109709,train,Davis,Yolo County,5,5,What has Davis as its capital?
11042,Q482657,P1376,Q109790,train,Logan,Cache County,4,4,What has Logan as its capital?
11043,Q462184,P1376,Q110187,train,Urbana,Champaign County,5,5,What has Urbana as its capital?
11044,Q392599,P1376,Q110403,train,Everett,Snohomish County,5,5,What has Everett as its capital?
11045,Q16558,P1376,Q110412,train,Fort Worth,Tarrant County,4,4,What has Fort Worth as its capital?
11046,Q865925,P1376,Q110848,train,Hønefoss,Ringerike,4,4,What has Hønefoss as its capital?
11047,Q16557,P1376,Q111168,train,Dallas,Dallas County,3,3,What has Dallas as its capital?
11048,Q51697,P1376,Q111174,train,McKinney,Collin County,4,4,What has McKinney as its capital?
11049,Q485708,P1376,Q111549,train,Duluth,St. Louis County,5,5,What has Duluth as its capital?
11050,Q49258,P1376,Q111774,train,Colorado Springs,El Paso County,5,5,What has Colorado Springs as its capital?
11051,Q49239,P1376,Q112107,train,Toledo,Lucas County,3,3,What has Toledo as its capital?
11052,Q202973,P1376,Q1121436,train,Kingston,Province of Canada,4,4,What has Kingston as its capital?
11053,Q139473,P1376,Q1122368,train,Sherbrooke,Estrie,3,3,What has Sherbrooke as its capital?
11054,Q79867,P1376,Q112271,train,Birmingham,Jefferson County,3,3,What has Birmingham as its capital?
11055,Q1223508,P1376,Q1125333,train,Ohrid,Ohrid Municipality,5,5,What has Ohrid as its capital?
11056,Q83407,P1376,Q1129,train,Mons,Hainaut,3,3,What has Mons as its capital?
11057,Q138458,P1376,Q112915,train,Hackensack,Bergen County,4,4,What has Hackensack as its capital?
11058,Q101254,P1376,Q11294004,train,Newport,City of Newport,4,4,What has Newport as its capital?
11059,Q320729,P1376,Q113017,train,Pocatello,Bannock County,5,5,What has Pocatello as its capital?
11060,Q192517,P1376,Q113029,train,Boulder,Boulder County,3,3,What has Boulder as its capital?
11061,Q1818828,P1376,Q1147435,train,Rothesay,Isle of Bute,5,5,What has Rothesay as its capital?
11062,Q40435,P1376,Q114843,train,Buffalo,Erie County,4,4,What has Buffalo as its capital?
11063,Q49218,P1376,Q115104,train,Rochester,Monroe County,3,3,What has Rochester as its capital?
11064,Q225519,P1376,Q115182,train,Auburn,Cayuga County,5,5,What has Auburn as its capital?
11065,Q213181,P1376,Q1171024,train,Darlington,Darlington,4,4,What has Darlington as its capital?
11066,Q41211,P1376,Q1183,train,San Juan,Puerto Rico,3,3,What has San Juan as its capital?
11067,Q63912,P1376,Q11922,train,Glarus,canton of Glarus,5,5,What has Glarus as its capital?
11068,Q68144,P1376,Q11933,train,Zug,Canton of Zug,5,5,What has Zug as its capital?
11069,Q40881,P1376,Q1227,train,Carson City,Nevada,2,2,What has Carson City as its capital?
11070,Q68150,P1376,Q12404,train,Altdorf,Uri,3,3,What has Altdorf as its capital?
11071,Q156990,P1376,Q1245075,train,Monmouth,Monmouthshire,4,4,What has Monmouth as its capital?
11072,Q63931,P1376,Q12592,train,Stans,Nidwalden,5,5,What has Stans as its capital?
11073,Q36378,P1376,Q12640,train,Fribourg,canton of Fribourg,5,5,What has Fribourg as its capital?
11074,Q68120,P1376,Q12713,train,Frauenfeld,Thurgau,3,3,What has Frauenfeld as its capital?
11075,Q202628,P1376,Q1278608,train,Oldham,Oldham,3,3,What has Oldham as its capital?
11076,Q490732,P1376,Q127970,train,Fort Collins,Larimer County,5,5,What has Fort Collins as its capital?
11077,Q25395,P1376,Q128077,train,Newark,Essex County,3,3,What has Newark as its capital?
11078,Q188304,P1376,Q1280897,train,Sunderland,Sunderland,4,4,What has Sunderland as its capital?
11079,Q605157,P1376,Q1282212,train,Babol,Babol County,4,4,What has Babol as its capital?
11080,Q31467408,P1376,Q12892,train,Antwerp,Antwerp,4,4,What has Antwerp as its capital?
11081,Q42448,P1376,Q12956644,train,Sheffield,Sheffield,2,2,What has Sheffield as its capital?
11082,Q172438,P1376,Q12956645,train,Peterborough,City of Peterborough,5,5,What has Peterborough as its capital?
11083,Q62,P1376,Q13188841,train,San Francisco,San Francisco County,4,4,What has San Francisco as its capital?
11084,Q134291,P1376,Q132637,train,Mersin,Mersin Province,5,5,What has Mersin as its capital?
11085,Q179406,P1376,Q1342914,train,Grimsby,North East Lincolnshire,5,5,What has Grimsby as its capital?
11086,Q73817,P1376,Q1347872,train,Winschoten,Oldambt,5,5,What has Winschoten as its capital?
11087,Q184579,P1376,Q1364541,train,Bolton,Bolton,3,3,What has Bolton as its capital?
11088,Q200028,P1376,Q139918,train,Hamilton,Waikato Region,5,5,What has Hamilton as its capital?
11089,Q233467,P1376,Q140246,train,Gisborne,Gisborne District,5,5,What has Gisborne as its capital?
11090,Q659803,P1376,Q1423078,train,Ashton-under-Lyne,Tameside,4,4,What has Ashton-under-Lyne as its capital?
11091,Q320514,P1376,Q142369,train,Lancaster,Lancaster County,3,3,What has Lancaster as its capital?
11092,Q1016574,P1376,Q14395599,train,Timaru,Timaru District,5,5,What has Timaru as its capital?
11093,Q676689,P1376,Q1459781,train,Gravesend,Gravesham,5,5,What has Gravesend as its capital?
11094,Q6807568,P1376,Q14641,train,Emmen,Emmen,3,3,What has Emmen as its capital?
11095,Q655874,P1376,Q1473780,train,Newbury,West Berkshire,5,5,What has Newbury as its capital?
11096,Q28198,P1376,Q1494,train,Jackson,Mississippi,2,2,What has Jackson as its capital?
11097,Q18021,P1376,Q15094,train,Biella,Province of Biella,5,5,What has Biella as its capital?
11098,Q6526,P1376,Q15124,train,Bolzano,South Tyrol,4,4,What has Bolzano as its capital?
11099,Q179608,P1376,Q15176,train,Nanning,Guangxi,5,5,What has Nanning as its capital?
11100,Q43196,P1376,Q152891,train,Cincinnati,Hamilton County,3,3,What has Cincinnati as its capital?
11101,Q279000,P1376,Q1541228,train,South Shields,South Tyneside,5,5,What has South Shields as its capital?
